@RELATION viajante

@ATTRIBUTE eixo_X NUMERIC
@ATTRIBUTE eixo_Y NUMERIC
%@ATTRIBUTE type { x, y }

@DATA
%
% Instances:
%
209.13465452942577, 303.4237346797021
580.9196017089325, 156.48442894155158
279.53221221177307, 203.55886712999288
613.166491464125, 112.65547526416555
477.2152689250416, 31.34027797152762
282.2942985228681, 367.87123572368597
549.3276142351828, 120.39650718052759
546.1341393555969, 223.29903262251747
251.59329365759586, 399.39245832340873
391.4882236219938, 324.62208716177304
%
%
%
